iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,employee_residence,salary_in_usd
JPN,Asia,Japan,2022-03-05,5341246.0,63591.0,64286.286,24816.0,184.0,213.0,42373.759,504.487,510.003,196.873,1.46,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,,Japan,95821.625
SAU,Asia,Saudi Arabia,2022-03-05,747119.0,283.0,482.429,9006.0,1.0,1.714,21140.482,8.008,13.651,254.834,0.028,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,,Saudi Arabia,134999.0
AND,Europe,Andorra,2022-03-05,38434.0,0.0,62.143,151.0,0.0,0.0,496858.598,0.0,803.357,1952.065,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,,Andorra,50745.0
LTU,Europe,Lithuania,2022-03-05,928612.0,4802.0,4528.857,8503.0,22.0,,345226.632,1785.222,1683.676,3161.129,8.179,,,,,,,,,,,,,,,,,,,,4453980.0,1946742.0,1870773.0,911345.0,84.0,553.0,165.58,72.37,69.55,33.88,206.0,81.0,0.003,,2689862.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,,,,,Lithuania,97611.0
NGA,Africa,Nigeria,2022-03-05,254637.0,0.0,19.429,3142.0,0.0,0.0,1204.523,0.0,0.092,14.863,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211400704.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,,,,,Nigeria,52416.666666666664
CHN,Asia,China,2022-03-05,110868.0,329.0,253.714,4636.0,0.0,0.0,76.767,0.228,0.176,3.21,0.0,0.0,,,,,,,,,,,,,,,,,,,3156899000.0,,,,4480000.0,5319286.0,218.59,,,,3683.0,,,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,,China,125404.0
SVN,Europe,Slovenia,2022-03-05,902744.0,1887.0,1671.857,6351.0,10.0,10.714,434278.16,907.769,804.271,3055.241,4.811,5.154,,,,,,,,,,,,,,,,,,,2965721.0,1264029.0,1218812.0,630112.0,19.0,447.0,142.67,60.81,58.63,30.31,215.0,28.0,0.001,,2078723.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,,,,,Slovenia,56186.333333333336
PER,South America,Peru,2022-03-05,3522484.0,,,210907.0,,,105591.9,,,6322.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,Peru,27000.0
BEL,Europe,Belgium,2022-03-05,3586292.0,,,30259.0,,,308303.733,,,2601.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,,Belgium,95565.83333333333
ROU,Europe,Romania,2022-03-05,2765169.0,4837.0,5812.714,63931.0,82.0,91.0,144563.047,252.878,303.889,3342.313,4.287,4.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19127772.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,,,,,Romania,44338.0
